Company Name,1 Source Design,Search:
Public Website Homepage URL,http://1-sourcedesign.com/,
Domain,,
Source,AMBA,
Target Status,C?,
Ownership,Privately held; part of One Source Group with international partnerships.,
Address & Phone,"1024 Airport Industrial Dr.
Gadsden, AL, 35904
(519) 627-6034",
Industries served,Automotive; Consumer products; Industrial manufacturing; Electronics,
Products and services offered,Tool builds from design to completion; Repair and engineering changes with quick turnaround; Injection mold tryouts and molding for various tool sizes; Design and build of glass RIM molds and fixtures; Specialization in die cast tool building and trim dies,
Square footage (facility),~30k (zoominfo),
Number of employees,45+ (site),
Estimated Revenues,~$5M (zoominfo),
Years of operation,35,
Equipment,Toshiba Boring Mill (CNC); Injection Molding Machines,
CNC 3-axis,Yes,
CNC 5-axis,Yes,
Spares/Repairs,Yes,
Family business,refer to site,
2nd Address,refer to site,
Region,,
Medical,,
Notes (Approach/Contacts/Info),,
Row #,2,
