Company Name,Target Status,Status (proposed),Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info)
1 Source Design (One Source Group / MS-2 Partnership),C?,C?,http://1-sourcedesign.com/,1-sourcedesign.com,AMBA,1024 Airport Industrial Dr.,Gadsden,AL,35904,(519) 627-6034,Automotive; Consumer products; Industrial equipment,"Tool builds (design → production); Repairs & engineering changes; Outsource machining; Injection mold tryouts/molding; RIM molds; Glass encapsulation tools; Die cast tooling (up to 55,000 lbs); Trim & coining dies; Fixtures and automation support","40,000 (site Wallaceburg); 25,000 (site Gadsden)",45+ (site); ~60 (public: BF 2024),$10–25M (public: ZoomInfo 2024),"~40 (Site)
~45 Years (News)
~50 Years (News) 
~50 Years (News) ",Dale Bowers (Plant Manager); Kevin Colfer (Engineering Manager); Jack Fox (Molding Manager),Matsuura (3-axis) ×2,Yes,Yes,Yes,No,"Wallaceburg, ON (secondary)",No region,No,
Harris Precision Mold,CY,CY,http://www.hpmold.com,hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,Medical; Pharmaceutical; Packaging,,"~25,000 (site)",~50 (site); ~65 (public: BF 2023),$8–12M (public: ZoomInfo 2024),~40,Privately held,null,,,Yes,No,"West Jordan, UT (support facility)",No region,Yes,
M.R. Mold & Engineering,CY,CY,http://www.mrmold.com,mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(714) 996-5511,Medical; Consumer products; Aerospace; Industrial,LSR & gum stock molds; Plastic injection molds; Micro/overmold/insert molds; Cold runner systems; Automation; Mold sampling & validation,"23,000 (site)",30+ (site); ~45 (public: BF 2024),$10–25M (public: ZoomInfo 2024),"~50 (News,2020) ",Rick Finnie (Founder/CEO),Yasda YBM Vi40 (5-axis) ×1,Yes,Yes,No,Yes,,No region,Yes,
Prestige Mold,CY,CY,http://www.prestigemold.com,prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(909) 980-6600,Medical; Packaging; Consumer products,Precision injection mold design/build; Turnkey tooling; Advanced CAD/CAM & 3D modeling; Automation & robotics integration,"30,000 (site estimate)",~50 (site); ~70 (public: BF 2024),~$15M (calc from employees),,Privately held; family-owned,null,,,No,Yes,,No region,Yes,
Source One (Product Development Solutions),CY,CY,http://www.source-one.net,source-one.net,AMBA,41691 Corporate Center Ct,Murrieta,CA,92562,(714) 672-4172,Medical; Packaging; Consumer products,Injection mold design/build; Mold sampling; Engineering changes & repair; CNC machining & tool maintenance,"~15,000 (site estimate)",~25 (public: BF 2023),"~$5M (calc from employees)
~$8M (Zoominfo)
~$5M - $10M (News, 2020)",,Privately held,CNC (3–5+ axis); Wire & Sinker EDM,Yes,Yes,Yes,No,,No region,Yes,
South Coast Mold,CY,CY,http://www.southcoastmold.com,southcoastmold.com,AMBA,1852 McGaw,Irvine,CA,92614,(949) 253-2000,Medical; Packaging; Consumer products,Custom injection mold design/build; Multi-cavity molds; Hot runner molds; Tool repair & maintenance; Engineering changes,"20,000 (site)",~40 (site); ~55 (public: BF 2023),$8–12M (public: ZoomInfo 2024),~45,Privately owned; family-managed,null,,,Yes,Yes,,No region,Yes,
Westec Plastics,CY,CN,http://www.westecplastics.com,westecplastics.com,AMBA,6757 Las Positas Road,Livermore,CA,94551,(925) 454-3400,Medical & healthcare; Aerospace; Industrial; Consumer products,Tool design & moldmaking; Custom injection molding; Medical device manufacturing; Cleanroom molding (ISO Class 8); Secondary operations & assembly,"50,000 (site)",90+ (site); ~110 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~55,Tammy Barras (President/CEO),null,,,Yes,No,,No region,Yes,
PTA Plastics,CX,CN,https://www.ptaplastics.com/,ptaplastics.com,AMBA,516 E. Industrial Park Rd,Oxford,CT,06478,(203) 888-0585,Medical devices; Aerospace & defense; Industrial; Consumer electronics,Injection mold design & engineering; Custom molding; Insert molding; Assembly & secondary services; Rapid prototyping,"90,000+ (combined CT & CO)",180+ (site); ~200 (public: LinkedIn 2024),~$45M (public: ZoomInfo 2024),~70,100% Employee-owned (ESOP),null,,,Yes,No,"Longmont, CO (facility)",No region,Yes,
"Ivanhoe Tool & Die Company, Inc.",CN,CN,http://ivanhoetool.com/,ivanhoetool.com,AMBA,1217 West State Street,Belding,MI,48809,(616) 794-2704,Automotive (Tier 1 & OEMs); Consumer products; Industrial,Custom injection mold design/build; Prototype & production tooling; Engineering changes & repair; Tool sampling & validation,"50,000 (site)",~70 (site); ~80 (public: LinkedIn 2024),~$14M (public: ZoomInfo 2024),~60,"Privately held, family-owned",null,,,Yes,Yes,,Mich,No,Test Ivanhoe Note
Wepco Plastics,CN,CN,https://wepcoplastics.com/,wepcoplastics.com,AMBA,27 Industrial Park Access Rd.,Middlefield,CT,06455,(860) 349-3407,Consumer products; Industrial equipment; Automotive (low-volume programs),"Custom injection molding; Mold design & build; Prototyping; Insert & overmolding; Secondary operations (assembly, finishing)","20,000 (site)",~35 (site); ~40 (public: BF 2024),~$7M (calc from employees),~40,Rachel Hile (President/Owner),null,,,Yes,Yes,,No region,No,
"Westminster Tool, Inc.",CY,CY,http://www.westminstertool.com,westminstertool.com,AMBA,23 Industrial Park Road,Plainfield,CT,06374,(860) 923-3200,Medical; Aerospace & defense; Industrial; Consumer products,"Plastic injection mold design/build; Mold maintenance & repair; Advanced manufacturing (CNC, EDM, additive); Engineering changes & prototyping","20,000+ (site)",~45 (site); ~50 (public: LinkedIn 2024),~$12M (public: ZoomInfo 2024),~27,Ray Coombs (Founder); Hillary Thomas (President),Makino D200Z (5-axis) ×1; Sodick VL600Q (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,Yes,Yes,Yes,,No region,Yes,
Ameritech Die & Mold,CY,CY,https://www.amdiemold.com/,amdiemold.com,AMBA,107 Knob Hill Road,Mooresville,NC,28117,(704) 664-0801,Medical devices; Industrial equipment; Packaging,Precision injection mold design/build; Multi-cavity tooling; Hot runner systems; Mold repair & engineering changes; Validation and sampling,"30,000 (site)",~60 (site); ~70 (public: LinkedIn 2024),~$15M (public: ZoomInfo 2024),~76,Mark Kosinski (President),Makino V33 (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Mitutoyo Crysta-Apex (CMM) ×1,Yes,Yes,Yes,Yes,,RT-NC,Yes,
Carson Tool & Mold,CY,CY,http://www.carsonmold.com,carsonmold.com,AMBA,3070 Moon Station Road,Kennesaw,GA,30144,(770) 427-3716,Automotive; Industrial; Consumer products,Injection mold design/build; Tooling for interior/exterior automotive components; Engineering changes; Tool repair & maintenance,"50,000 (site)",~90 (site); ~100 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~46,Family-owned; second generation leadership,null,,Yes,Yes,Yes,,No region,No,
American Tool & Engineering (ATE),CY,CY,http://www.atemold.com,atemold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; Medical; Consumer/industrial products,Precision injection molds; Multi-cavity tooling; Hot runner systems; CNC machining; Mold repair & maintenance,"40,000 (site)",~60 (site); ~65 (public: LinkedIn 2024),~$18M (public: ZoomInfo 2024),~26,Privately held,null,Yes,,Yes,No,,No region,Yes,
"Iowa Mold & Engineering, Inc.",CY,CY,http://www.iowamold.com,iowamold.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; Industrial machinery; Heavy equipment,Custom mold design/build; Tool & die making; Industrial equipment manufacturing; Engineering support,"100,000+ (site)",~250 (public: LinkedIn 2024),~$55M (public: ZoomInfo 2024),~63,Oshkosh Corporation (publicly traded),null,,,Yes,No,,No region,No,Test Iowa Note
MSI Mold Builders,CY,CY,http://www.msimoldbuilders.com,msimoldbuilders.com,AMBA,12300 6th St SW,Cedar Rapids,IA,52404,(319) 848-7001,Automotive; Heavy truck; Industrial equipment,Large plastic injection molds; Complex tooling; Mold repair & maintenance; Engineering changes,"80,000+ combined (site/public)",~120 (site); ~130 (public: LinkedIn 2024),~$35M (public: ZoomInfo 2024),~53,Steve Rotman (CEO),null,,,Yes,No,"Greenville, SC (facility)",No region,No,MSI test note #1 This field only.  Only here.  Hi Ted
Summit Mold,CY,CY,http://www.summitmold.com,summitmold.com,AMBA,4200 W Seltice Way,Post Falls,ID,83854,(208) 777-7462,Medical; Automotive; Consumer products,Injection mold design/build; Multi-cavity tooling; Hot runner systems; Mold repair & engineering changes,"25,000 (site)",~40 (site); ~50 (public: LinkedIn 2024),~$10M (public: ZoomInfo 2024),~47,Family-owned; second generation,null,,Yes,Yes,Yes,,No region,Yes,Test note for Summit
A1 Tool Corporation,CX,CY,http://www.a1toolcorp.com,a1toolcorp.com,AMBA,1425 Armitage Ave,Melrose Park,IL,60160,(708) 345-5000,Automotive; Industrial; Packaging,Large injection molds; Complex multi-cavity tooling; Mold repair & engineering changes; Precision machining,"90,000 (site)",~120 (site); ~140 (public: LinkedIn 2024),~$30M (public: ZoomInfo 2024),~79,Greg Osko (President),null,,,Yes,No,,Ilin,No,
Alchemy Precision,CY,CY,http://www.alchemyprecision.com,alchemyprecision.com,AMBA,25 Western Industrial Drive,Cranston,RI,02921,(401) 946-5200,Medical; Consumer products; Industrial,Custom mold design/build; Precision machining; Mold repair & maintenance; Engineering support,"12,000 (site)",~20 (site); ~25 (public: LinkedIn 2024),~$5M (calc from employees),,Privately owned; small business,null,,Yes,Yes,Yes,,No region,Yes,
Angle Tool Works Inc.,C?,CY,http://www.angletoolworks.com,angletoolworks.com,AMBA,102 Industrial Parkway,Greene,IA,50636,(641) 816-4921,Automotive; Consumer products; Industrial,Injection mold design/build; CNC machining & EDM; Mold maintenance & repair; Engineering changes,"20,000 (site)",~35 (site); ~40 (public: LinkedIn 2024),~$8M (public: ZoomInfo 2024),~48,Privately held; family-owned,null,Yes,,Yes,Yes,,No region,No,
Armin Tool & Manufacturing Co.,CY,CY,http://www.armin-ind.com,armin-ind.com,AMBA,1500 N La Fox St.,South Elgin,IL,60177,(847) 742-1864,Automotive; Heavy equipment; Consumer goods,Injection molds; Die cast tooling; Precision machining; Mold repair & engineering changes,"40,000 (site)",~60 (site); ~70 (public: LinkedIn 2024),~$16M (public: ZoomInfo 2024),~56,Dennis Tully (President/Owner),Makino V33 (3-axis) ×1; Sodick VL400Q (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,,Yes,No,,Ilin,No,
BA Die Mold,CY,CY,http://www.badassmolds.com,badassmolds.com,AMBA,3685 Prairie Lake Court,Aurora,IL,60504,(630) 978-4747,Consumer products; Industrial; Automotive (limited),Custom injection molds; Mold repair & engineering; Prototyping,"10,000 (site)",~15 (public: LinkedIn 2024),~$3M (calc from employees),,Privately held; owner-operated,null,Yes,,Yes,No,,Ilin,No,
Chicago Mold Engineering,CY,CY,http://www.chicagomold.com,chicagomold.com,AMBA,615 Stetson Ave.,St. Charles,IL,60174,(630) 584-1311,Packaging; Consumer products; Automotive,Injection mold design/build; Multi-cavity tooling; Mold repair & maintenance; Engineering services,"60,000 (site)",~80 (site); ~90 (public: LinkedIn 2024),~$20M (public: ZoomInfo 2024),~80,Family-owned; multi-generation business,Makino D200Z (5-axis) ×1; Sodick AQ537L (Wire EDM) ×1; Zeiss Contura (CMM) ×1,Yes,Yes,Yes,Yes,,Ilin,No,
Comet Die & Engraving Company,CY,CY,http://www.cometdie.com,cometdie.com,AMBA,909 North Larch Avenue,Elmhurst,IL,60126,(630) 833-5600,Automotive; Consumer products; Industrial,Injection molds; Engraving services; Mold maintenance & repair; CNC machining,"15,000 (site)",~30 (site); ~35 (public: LinkedIn 2024),~$6M (calc from employees),~49,Privately held,null,Yes,,Yes,No,,Ilin,No,
Craftsman Tool & Mold,CY,CY,http://www.craftsmanmold.com,craftsmanmold.com,AMBA,2750 Church Road,Aurora,IL,60502-9706,(630) 851-8700,Automotive; Industrial; Consumer products,Custom injection molds; CNC machining; Mold repair & engineering changes; Prototype tooling,"25,000 (site)",~50 (site); ~55 (public: LinkedIn 2024),~$12M (public: ZoomInfo 2024),~52,Privately held,Makino V33i (3-axis) ×1; Sodick AQ325L (Wire EDM) ×1; Hexagon Global (CMM) ×1,Yes,,Yes,No,,Ilin,No,
Creative Die Mold Corp.,CY,CY,http://www.creativediemold.com,creativediemold.com,AMBA,425 Windy Point Drive,Glendale Heights,IL,60139,(630) 790-9731,Automotive; Consumer products; Industrial,Injection mold design/build; Tool repair & engineering; Prototyping; CNC machining,"20,000 (site)",~45 (site); ~50 (public: LinkedIn 2024),~$10M (public: ZoomInfo 2024),~55,Privately held,null,Yes,,Yes,No,,Ilin,No,
Elba Tool & Die,CY,CY,http://www.elbatool.com,elbatool.com,AMBA,220 Covington Dr,Bloomingdale,IL,60108,(847) 895-4100,Automotive; Industrial; Consumer products,Large injection molds; Tool repair & maintenance; CNC machining & EDM; Engineering changes,"35,000 (site)",~55 (site); ~60 (public: LinkedIn 2024),~$14M (public: ZoomInfo 2024),~50,Privately held,Makino V56i (3-axis) ×1; Sodick AG600L (Wire EDM) ×1; Zeiss Duramax (CMM) ×1,Yes,,Yes,No,,Ilin,No,
