Company URL,Company Name,News URL,Source,Notes
http://1-sourcedesign.com/,1 Source Design,https://sydenhamcurrent.ca/2024/10/24/1-source-design-recognizes-long-serving-employees-in-wallaceburg/,Perplexity,"Local Sydenham Current article on 1 Source Design in Wallaceburg, Ontario recognizing long-serving employees and noting its long history in tool and die manufacturing [web:45]"
http://www.mrmold.com,M.R. Mold & Engineering,https://www.mrmold.com/news,Perplexity,"Internal news and media page aggregating M.R. Mold & Engineering Corp. announcements, project highlights, and trade-show collaborations from Brea, California [web:15]"
http://www.mrmold.com,M.R. Mold & Engineering,https://www.moldmakingtechnology.com/news/mr-mold-engineering-celebrates-40-years-of-moldmaking,Perplexity,MoldMaking Technology article celebrating 40 years of moldmaking at M.R. Mold & Engineering and outlining its growth in silicone and plastic injection tooling [web:42]
http://www.mrmold.com,M.R. Mold & Engineering,https://www.plasticstoday.com/injection-molding/m-r-mold-engineering-to-highlight-silicone-molding-expertise-at-npe,Perplexity,Plastics Today article on M.R. Mold & Engineering showcasing tight-tolerance silicone molding and proprietary cold-runner systems at NPE [web:19]
http://www.prestigemold.com,Prestige Mold,https://www.prestigemold.com/news-a-events.php,Perplexity,"Internal news and events page for Prestige Mold Inc., a Southern California precision moldmaker serving medical and packaging markets [web:21][web:23]"
http://www.prestigemold.com,Prestige Mold,https://www.plasticstoday.com/automation/prestige-mold-invests-1-5m-in-facility-equipment-automation,Perplexity,"Plastics Today item describing Prestige Mold’s approximately $1.5 million investment in facility, equipment, and automation to expand high-precision mold capacity [web:24]"
http://www.source-one.net,Source One,https://sourceonex.com/services/metal-manufacturing/,Perplexity,SourceOne metal manufacturing services page describing precision metal fabrication and machining; treated as internal marketing content rather than stand-alone news [web:32]
http://www.southcoastmold.com,South Coast Mold,https://www.moldmakingtechnology.com/news/south-coast-mold-earns-water-efficiency-and-green-certifications,Perplexity,MoldMaking Technology news item on South Coast Mold earning City of Irvine water-efficiency and green business certifications for its mold manufacturing operations [web:27][web:38]
https://www.westecplastics.com,Westec Plastics,https://www.westecplastics.com/blogs-news/,Perplexity,"Blogs & News hub for Westec Plastics Corporation, a Livermore, California custom injection molder and tool builder serving medical and other industries [web:63][web:73]"
https://www.westecplastics.com,Westec Plastics,https://www.westecplastics.com/blogs-news/innovative-plastic-injection-molding-trends-in-2024/,Perplexity,"Westec Plastics blog post on 2024 injection molding trends, highlighting its use of Mantle’s metal 3D-printed tooling inserts [web:64]"
