zip,city,state,found
35904,Gadsden,AL,true
85281,Tempe,AZ,true
92821,Brea,CA,true
91730,Rancho Cucamonga,CA,true
92614,Irvine,CA,true
94551,Livermore,CA,true
06455,Middlefield,CT,true
28117,Mooresville,NC,true
30144,Kennesaw,GA,true
52404,Cedar Rapids,IA,true
83854,Post Falls,ID,true
60160,Melrose Park,IL,true
60177,South Elgin,IL,true
60504,Aurora,IL,true
60174,Saint Charles,IL,true
60126,Elmhurst,IL,true
60502,Aurora,IL,true
60139,Glendale Heights,IL,true
60108,Bloomingdale,IL,true
11070,nan,nan,true
60193,Schaumburg,IL,true
61109,Rockford,IL,true
60631,Chicago,IL,true
60191,Wood Dale,IL,true
60174,Saint Charles,IL,true
60191,Wood Dale,IL,true
60139,Glendale Heights,IL,true
60193,Schaumburg,IL,true
60120,Elgin,IL,true
60177,South Elgin,IL,true
46901,Kokomo,IN,true
47265,North Vernon,IN,true
46903,Kokomo,IN,true
46544,Mishawaka,IN,true
46777,Ossian,IN,true
47265,North Vernon,IN,true
70506,Lafayette,LA,true
20763,Savage,MD,true
48035,Clinton Township,MI,true
49341,Rockford,MI,true
49505,Grand Rapids,MI,true
49321,Comstock Park,MI,true
49418,Grandville,MI,true
49509,Wyoming,MI,true
48026,Fraser,MI,true
48906,Lansing,MI,true
48083,Troy,MI,true
49091,Sturgis,MI,true
49024,Portage,MI,true
48895,Williamston,MI,true
49101,Baroda,MI,true
49548,Grand Rapids,MI,true
49512,Grand Rapids,MI,true
49938,Ironwood,MI,true
49101,Baroda,MI,true
60143,Itasca,IL,true
48065,Romeo,MI,true
48314,Sterling Heights,MI,true
49461,Whitehall,MI,true
48038,Clinton Township,MI,true
56437,Bertha,MN,true
55303,Anoka,MN,true
55128,Saint Paul,MN,true
55301,Albertville,MN,true
55369,Osseo,MN,true
64081,Lees Summit,MO,true
64030,Grandview,MO,true
28117,Mooresville,NC,true
27284,Kernersville,NC,true
27587,Wake Forest,NC,true
68803,Grand Island,NE,true
07069,Watchung,NJ,true
08648,Lawrence Township,NJ,true
11779,Ronkonkoma,NY,true
14606,Rochester,NY,true
14606,Rochester,NY,true
14606,Rochester,NY,true
48612,Beaverton,MI,true
44240,Kent,OH,true
44240,Kent,OH,true
45414,Dayton,OH,true
16949,nan,nan,true
45385,Xenia,OH,true
97015,Clackamas,OR,true
17349,New Freedom,PA,true
16335,Meadville,PA,true
16509,Erie,PA,true
64081,Lees Summit,MO,true
16510,Erie,PA,true
29642,Easley,SC,true
52404,Cedar Rapids,IA,true
29657,Liberty,SC,true
57401,Aberdeen,SD,true
37921,Knoxville,TN,true
78633,Georgetown,TX,true
77039,Houston,TX,true
79915,El Paso,TX,true
53033,Hubertus,WI,true
53012,Cedarburg,WI,true
53027,Hartford,WI,true
54555,Phillips,WI,true
53051,Menomonee Falls,WI,true
54220,Manitowoc,WI,true
54304,Green Bay,WI,true
53024,Grafton,WI,true
53948,Mauston,WI,true
53024,Grafton,WI,true
53029,Hartland,WI,true
53092,Mequon,WI,true
54630,Galesville,WI,true
53224,Milwaukee,WI,true
