Company Name,Target Status,Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served -- Free text,Products and services offered -- Free text,Square footage (facility),Number of employees,Estimated Revenues (200K per empl),Years of operation,Ownership,Equipment (Yasda/Makino/Kern only),CNC 3-axis,CNC 5-axis,Spares/Repairs,Family business,User Notes,Jobs,Year Evidence URL,Year Evidence Snippet,Owner Evidence URL,Source URLs,First Seen,Last Seen,Last Update,Notes (Approach/Contacts/Info)
1 Source Design (One Source Group / MS-2 Partnership),CY,http://1-sourcedesign.com/,1-sourcedesign.com,AMBA,1024 Airport Industrial Dr.,Gadsden,AL,35904,(519) 627-6034,Automotive; plastic product development; die cast; glass encapsulation; RIM; injection molding tryouts,Tool builds; repairs & engineering changes; outsource machining; injection mold tryouts/molding; RIM molding; fixtures; glass encapsulation tools; die cast tooling; trim/coining dies,,,,35+,,,Yes,Yes,Yes,,,,,,,http://1-sourcedesign.com/|http://1-sourcedesign.com/about-1design.html|http://1-sourcedesign.com/about-ms2.html,8/26/2025 19:03,8/26/2025 19:03,8/26/2025 19:03,
Harris Precision Mold,CY,http://www.hpmold.com,hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,Medical; pharmaceutical; packaging,Class 101 plastic injection molds; multi-shot; unscrewing; shuttle; mold design/engineering; repair & tooling support,,,,,,,Yes,,Yes,,,,,,,http://www.hpmold.com|http://www.hpmold.com/about.html|http://www.hpmold.com/services.html|http://www.hpmold.com/jobs.html|http://www.hpmold.com/contact.html,8/26/2025 19:03,8/26/2025 19:03,8/26/2025 19:03,
M.R. Mold & Engineering,CY,http://www.mrmold.com,mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(714) 996-5511,Silicone (LSR); plastic; micro/overmold/insert,LSR molds; plastic molds; micro; overmolds; insert molds; cold runner systems; stuffer box; seals; robotics; design/engineering/QA,23000+,,,40,Founder: Rick Finnie,,,,,,,MOLD MAKER; moldmaker,,,,http://www.mrmold.com|https://www.mrmold.com/contact|https://www.mrmold.com/about|https://www.mrmold.com/careers|https://www.mrmold.com/companybackground,8/26/2025 19:03,8/26/2025 19:03,8/26/2025 19:03,
Prestige Mold,CY,http://www.prestigemold.com,prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(909) 980-6600,Precision injection molding (various industries),Precision injection molds; turnkey systems; advanced engineering/3D modeling; automation & robotics,,,,,,,,,,,,,,,,http://www.prestigemold.com|http://www.prestigemold.com/contact.php,8/26/2025 19:04,8/26/2025 19:04,8/26/2025 19:04,
Source One (Product Development Solutions),CY,http://www.source-one.net,source-one.net,AMBA,41691 Corporate Center Ct,Murrieta,CA,92562,#ERROR!,Defense; aerospace; medical; commercial,Product design & development; mold design; CNC machining; rapid prototyping; manufacturing; ISO 9001; AS9100,,,,,,Yes,,,,,,,,,,http://www.source-one.net,8/26/2025 19:04,8/26/2025 19:04,8/26/2025 19:04,
South Coast Mold,CY,http://www.southcoastmold.com,southcoastmold.com,AMBA,1852 McGaw,Irvine,CA,92614,(949) 253-2000,Aerospace; industrial gas turbines; automotive; electronics; medical; marine; commercial,Dies for investment casting (wax); soluble/core dies; fixtures; CAD modeling; CNC machining; reverse engineering; NX CAD/CAM,12000,,,52,Novak family leadership (Founder: Peter Novak; Director: Paul Novak),,Yes,,,Yes,,,,,,http://www.southcoastmold.com|http://www.southcoastmold.com/about-us|http://www.southcoastmold.com/equipment-list|http://www.southcoastmold.com/services|http://www.southcoastmold.com/contact-us|http://www.southcoastmold.com/contact-us/terms-conditions,8/26/2025 19:04,8/26/2025 19:04,8/26/2025 19:04,
Westec Plastics,CN,http://www.westecplastics.com,westecplastics.com,AMBA,6757 Las Positas Road,Livermore,CA,94551,(925) 454-3400,Medical; aerospace/defense; consumer; electronics; sports & recreation,Plastic injection molding; in-house tool room; ISO Class 8 clean rooms; assembly; welding; pad printing; laser engraving; real-time monitoring,46080,,,56,Family-owned; ISO 13485:2016,,,,,Yes,,,,,,http://www.westecplastics.com|https://www.westecplastics.com/contact-us/|https://www.westecplastics.com/about-us/|https://www.westecplastics.com/about-us/our-team/,8/26/2025 19:05,8/26/2025 19:05,8/26/2025 19:05,
PTA Plastics,CN,https://www.ptaplastics.com/,ptaplastics.com,AMBA,516 E. Industrial Park Rd,Oxford,CT,6478,(203) 888-0585,"Medical devices (surgical, diagnostics, drug delivery); defense; safety/security",DFM; mold design & engineering; custom injection molding; assembly & secondaries; overmolding; insert molding; cleanroom molding; rapid prototyping,,,,72,Employee-owned (since 2009),,,,,,,,,,,http://www.ptaplastics.com,8/26/2025 19:05,8/26/2025 19:05,8/26/2025 19:05,
"Ivanhoe Tool & Die Company, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,http://ivanhoetool.com/is,8/26/2025 19:05,8/26/2025 19:05,8/26/2025 19:05,
Wepco Plastics,CN,https://wepcoplastics.com/,wepcoplastics.com,AMBA,27 Industrial Park Access Rd.,Middlefield,CT,6455,(860) 349-3407,Prototype & short-run molding; aerospace machining; fixturing; secondaries,"Design support; 3D printing; in-house tooling & mold building; molding (assembly, inserting, overmolding); rapid prototyping",,30,6000000,37+,Family-owned (Parmelee),,,,,Yes,,,,,,https://wepcoplastics.com/|https://wepcoplastics.com/about/|https://wepcoplastics.com/services/|https://wepcoplastics.com/contact-us/,8/26/2025 19:05,8/26/2025 19:05,8/26/2025 19:05,
"Westminster Tool, Inc.",CY,http://www.westminstertool.com,westminstertool.com,AMBA,23 Industrial Park Road,Plainfield,CT,6374,(860) 923-3200,Aerospace; medical device; defense; consumer packaging,Plastic injection mold manufacturing; precision machining; design engineering support; automation & mold qualification,,,,49,Family-owned,,Yes,Yes,,Yes,,,,,,http://www.westminstertool.com,8/26/2025 19:05,8/26/2025 19:05,8/26/2025 19:05,
Ameritech Die & Mold,CY,https://www.amdiemold.com/,amdiemold.com,AMBA,107 Knob Hill Road,Mooresville,NC,28117,(704) 664-0801,Automotive; safety; appliance; consumer goods,Engineering; project management; new mold builds; engineering changes; mold repairs; 5-axis machining; CNC EDM (wire); horizontal machining; gun drilling; welding; mold sampling,,,,40,,,,Yes,Yes,,,,,,,https://www.amdiemold.com/|https://www.amdiemold.com/about-us|https://www.amdiemold.com/about-us/video-virtual-tour|https://www.amdiemold.com/equipment|https://www.amdiemold.com/capabilities|https://www.amdiemold.com/careers|https://www.amdiemold.com/contact-us|https://www.amdiemold.com/contact-us/map-directions,8/26/2025 19:06,8/26/2025 19:06,8/26/2025 19:06,
Carson Tool & Mold,CY,http://www.carsonmold.com,carsonmold.com,AMBA,3070 Moon Station Road,Kennesaw,GA,30144,(770) 427-3716,Various incl. automotive/consumer/industrial,"Design & engineering; manufacturing; quality control; maintenance & repair; qualification testing (120T, 400T presses)",24000,,,80,"Family-owned (Owner/President: Chris Carson, 3rd generation)",,,,Yes,Yes,,,,,,http://www.carsonmold.com|http://www.carsonmold.com/capabilities|http://www.carsonmold.com/about-us|http://www.carsonmold.com/contact|http://www.carsonmold.com/capabilities/#design|http://www.carsonmold.com/capabilities/#manufacturing|http://www.carsonmold.com/capabilities/#quality|http://www.carsonmold.com/capabilities/#repair|http://www.carsonmold.com/capabilities/#testing|http://www.carsonmold.com/capabilities/#equipment,8/26/2025 19:06,8/26/2025 19:06,8/26/2025 19:06,
