Company Name,Target Status,Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Notes (Approach/ Contacts/Info)
1 Source Design (One Source Group / MS-2 Partnership),CY,http://1-sourcedesign.com/,1-sourcedesign.com,AMBA,1024 Airport Industrial Dr.,Gadsden,AL,35904,(519) 627-6034,Automotive; plastic product development; die cast; glass encapsulation; RIM; injection molding tryouts,Tool builds; repairs & engineering changes; outsource machining; injection mold tryouts/molding; RIM molding; fixtures; glass encapsulation tools; die cast tooling; trim/coining dies,,,,35+,,,Yes,Yes,Yes,,,
Harris Precision Mold,CY,http://www.hpmold.com,hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,Medical; pharmaceutical; packaging,Class 101 plastic injection molds; multi-shot; unscrewing; shuttle; mold design/engineering; repair & tooling support,,,,,,,Yes,,Yes,,,
M.R. Mold & Engineering,CY,http://www.mrmold.com,mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(714) 996-5511,Silicone (LSR); plastic; micro/overmold/insert,LSR molds; plastic molds; micro; overmolds; insert molds; cold runner systems; stuffer box; seals; robotics; design/engineering/QA,23000+,,,40,Founder: Rick Finnie,,,,,,,
Prestige Mold,CY,http://www.prestigemold.com,prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(909) 980-6600,Precision injection molding (various industries),Precision injection molds; turnkey systems; advanced engineering/3D modeling; automation & robotics,,,,,,,,,,,,
Source One (Product Development Solutions),CY,http://www.source-one.net,source-one.net,AMBA,41691 Corporate Center Ct,Murrieta,CA,92562,(714) 672-4172,Defense; aerospace; medical; commercial,Product design & development; mold design; CNC machining; rapid prototyping; manufacturing; ISO 9001; AS9100,,,,,,Yes,,,,,,
South Coast Mold,CY,http://www.southcoastmold.com,southcoastmold.com,AMBA,1852 McGaw,Irvine,CA,92614,(949) 253-2000,Aerospace; industrial gas turbines; automotive; electronics; medical; marine; commercial,Dies for investment casting (wax); soluble/core dies; fixtures; CAD modeling; CNC machining; reverse engineering; NX CAD/CAM,12000,,,52,Novak family leadership (Founder: Peter Novak; Director: Paul Novak),,Yes,,,Yes,,
Westec Plastics,CN,http://www.westecplastics.com,westecplastics.com,AMBA,6757 Las Positas Road,Livermore,CA,94551,(925) 454-3400,Medical; aerospace/defense; consumer; electronics; sports & recreation,Plastic injection molding; in-house tool room; ISO Class 8 clean rooms; assembly; welding; pad printing; laser engraving; real-time monitoring,46080,,,56,Family-owned; ISO 13485:2016,,,,,Yes,,
PTA Plastics,CN,https://www.ptaplastics.com/,ptaplastics.com,AMBA,516 E. Industrial Park Rd,Oxford,CT,06478,(203) 888-0585,"Medical devices (surgical, diagnostics, drug delivery); defense; safety/security",DFM; mold design & engineering; custom injection molding; assembly & secondaries; overmolding; insert molding; cleanroom molding; rapid prototyping,,,,72,Employee-owned (since 2009),,,,,,,
"Ivanhoe Tool & Die Company, Inc.",CN,http://ivanhoetool.com/,ivanhoetool.com,AMBA,1217 West State Street,Belding,MI,48809,(616) 794-2704,Automotive; consumer products; medical devices; industrial,Precision injection mold manufacturing; medium–high cavitation tooling; design & engineering; repair & maintenance; validation & inspection,,,,,Family-owned,,Yes,,Yes,Yes,,
Wepco Plastics,CN,https://wepcoplastics.com/,wepcoplastics.com,AMBA,27 Industrial Park Access Rd.,Middlefield,CT,06455,(860) 349-3407,Prototype & short-run molding; aerospace machining; fixturing; secondaries,"Design support; 3D printing; in-house tooling & mold building; molding (assembly, inserting, overmolding); rapid prototyping",,30,6000000,37+,Family-owned (Parmelee),,,,,Yes,,
"Westminster Tool, Inc.",CY,http://www.westminstertool.com,westminstertool.com,AMBA,23 Industrial Park Road,Plainfield,CT,06374,(860) 923-3200,Aerospace; medical device; defense; consumer packaging,Plastic injection mold manufacturing; precision machining; design engineering support; automation & mold qualification,,,,49,Family-owned,,Yes,Yes,,Yes,,
