Company Name,Target Status,Status (proposed),Public Website Homepage URL,Domain from URL,Source,Street Address,City,State,Zipcode,Phone,Industries served,Products and services offered,Square footage (facility),Number of employees,Estimated Revenues,Years of operation,Ownership,Equipment,CNC 3-axis,CNC 5-axis,Spares/ Repairs,Family business,2nd Address,Region,Medical,Notes (Approach/ Contacts/Info)
1 Source Design (One Source Group / MS-2 Partnership),CY,CY,http://1-sourcedesign.com/,1-sourcedesign.com,AMBA,1024 Airport Industrial Dr.,Gadsden,ON,35904,(519) 627-6034,Automotive; Consumer products; Industrial equipment,"Tool builds (design ? production); Repairs & engineering changes; Outsource machining; Injection mold tryouts/molding; RIM molds; Glass encapsulation tools; Die cast tooling (up to 55,000 lbs); Trim & coining dies; Fixtures and automation support","40,000 (site Wallaceburg); 25,000 (site Gadsden)",45+ (site); ~60 (public: BF 2024),$10–25M (public: ZoomInfo 2024),~40,Dale Bowers (Plant Manager); Kevin Colfer (Engineering Manager); Jack Fox (Molding Manager),"Toshiba horizontal boring mills (44,000 lbs); Parpas 5-axis gantry (49,500 lbs); Tarus 6-axis gun drill; CNCs (Matsuura, Fadal); EDMs (Sodick, Xermac); Injection presses (500T, 730T, 1500T); Gantry CMMs; Spotting presses",Yes,Yes,Yes,No,"Wallaceburg, ON (secondary)",No Region,No,
Harris Precision Mold,CY,CY,http://www.hpmold.com,hpmold.com,AMBA,1705 West 4th Street,Tempe,AZ,85281,(480) 731-3135,Medical; Pharmaceutical; Packaging,"Precision mold design (SolidWorks, SurfCam, Esprit); Class 101 injection molds; Multi-shot, shuttle, unscrewing molds; Tooling repair & support","~25,000 (site)",~50 (site); ~65 (public: BF 2023),$8–12M (public: ZoomInfo 2024),~40,Privately held,null,,,Yes,No,"West Jordan, UT (support facility)",No Region,Yes,
M.R. Mold & Engineering,CY,CY,http://www.mrmold.com,mrmold.com,AMBA,1150 Beacon Street,Brea,CA,92821,(714) 996-5511,Medical; Consumer products; Aerospace; Industrial,LSR & gum stock molds; Plastic injection molds; Micro/overmold/insert molds; Cold runner systems; Automation; Mold sampling & validation,"23,000 (site)",30+ (site); ~45 (public: BF 2024),$10–25M (public: ZoomInfo 2024),40,Rick Finnie (Founder/CEO),"6 molding machines; 4,000 sq ft Tech Center; CNC; EDM; Robotics; Mastercam programming",Yes,,No,No,,No Region,Yes,
Prestige Mold,CY,CY,http://www.prestigemold.com,prestigemold.com,AMBA,11040 Tacoma Drive,Rancho Cucamonga,CA,91730,(909) 980-6600,Medical; Packaging; Consumer products,Precision injection mold design/build; Turnkey tooling; Advanced CAD/CAM & 3D modeling; Automation & robotics integration,"30,000 (site estimate)",~50 (site); ~70 (public: BF 2024),~$15M (calc from employees),,Privately held; family-owned,null,,,No,Yes,,No Region,Yes,
Source One (Product Development Solutions),CY,CY,http://www.source-one.net,source-one.net,AMBA,41691 Corporate Center Ct,Murrieta,CA,92562,(714) 672-4172,Medical; Packaging; Consumer products,Injection mold design/build; Mold sampling; Engineering changes & repair; CNC machining & tool maintenance,"~15,000 (site estimate)",~25 (public: BF 2023),~$5M (calc from employees),,Privately held,null,Yes,,Yes,No,,No Region,Yes,
South Coast Mold,CY,CY,http://www.southcoastmold.com,southcoastmold.com,AMBA,1852 McGaw,Irvine,CA,92614,(949) 253-2000,Medical; Packaging; Consumer products,Custom injection mold design/build; Multi-cavity molds; Hot runner molds; Tool repair & maintenance; Engineering changes,"20,000 (site)",~40 (site); ~55 (public: BF 2023),$8–12M (public: ZoomInfo 2024),~45,Privately owned; family-managed,null,,,Yes,Yes,,No Region,Yes,
Westec Plastics,CN,CN,http://www.westecplastics.com,westecplastics.com,AMBA,6757 Las Positas Road,Livermore,CA,94551,(925) 454-3400,Medical & healthcare; Aerospace; Industrial; Consumer products,Tool design & moldmaking; Custom injection molding; Medical device manufacturing; Cleanroom molding (ISO Class 8); Secondary operations & assembly,"50,000 (site)",90+ (site); ~110 (public: LinkedIn 2024),~$25M (public: ZoomInfo 2024),~55,Tammy Barras (President/CEO),null,,,Yes,No,,No Region,Yes,
PTA Plastics,CN,CN,https://www.ptaplastics.com/,ptaplastics.com,AMBA,516 E. Industrial Park Rd,Oxford,CT,6478,(203) 888-0585,Medical devices; Aerospace & defense; Industrial; Consumer electronics,Injection mold design & engineering; Custom molding; Insert molding; Assembly & secondary services; Rapid prototyping,"90,000+ (combined CT & CO)",180+ (site); ~200 (public: LinkedIn 2024),~$45M (public: ZoomInfo 2024),~70,100% Employee-owned (ESOP),null,,,Yes,No,"Longmont, CO (facility)",No Region,Yes,
"Ivanhoe Tool & Die Company, Inc.",CN,CN,http://ivanhoetool.com/,ivanhoetool.com,AMBA,1217 West State Street,Belding,MI,48809,(616) 794-2704,Automotive (Tier 1 & OEMs); Consumer products; Industrial,Custom injection mold design/build; Prototype & production tooling; Engineering changes & repair; Tool sampling & validation,"50,000 (site)",~70 (site); ~80 (public: LinkedIn 2024),~$14M (public: ZoomInfo 2024),~60,"Privately held, family-owned",null,,,Yes,Yes,,No Region,No,
Wepco Plastics,CN,CN,https://wepcoplastics.com/,wepcoplastics.com,AMBA,27 Industrial Park Access Rd.,Middlefield,CT,6455,(860) 349-3407,Consumer products; Industrial equipment; Automotive (low-volume programs),"Custom injection molding; Mold design & build; Prototyping; Insert & overmolding; Secondary operations (assembly, finishing)","20,000 (site)",~35 (site); ~40 (public: BF 2024),~$7M (calc from employees),~40,Rachel Hile (President/Owner),null,,,Yes,Yes,,Ilin,No,
